Field of Study,Field of Study 2,Correlation,fos_code,fos2_code,same_broad
"16.08 Iranian languages, literatures and linguistics","16.99 Indigenous and foreign languages, literatures and linguistics, other",0.3369965068210057,16,16,same
"16.08 Iranian languages, literatures and linguistics",16.17 Second language learning,0.32400191905128417,16,16,same
"16.08 Iranian languages, literatures and linguistics","55.99 French language and literature/letters, otherCAN",0.3199199801364427,16,55,different
"16.08 Iranian languages, literatures and linguistics",39.05 Religious music and worship,0.3199045774622771,16,39,different
"16.09 Romance languages, literatures and linguistics","55.01 French language and literature, generalCAN",0.6922998406799362,16,55,different
"16.09 Romance languages, literatures and linguistics",05.01 Area studies,0.6725214779729763,16,05,different
"16.09 Romance languages, literatures and linguistics",23.14 English literature,0.6702558855954325,16,23,different
"16.09 Romance languages, literatures and linguistics","16.01 Linguistic, comparative and related language studies and services",0.6696076669899077,16,16,same
"16.09 Romance languages, literatures and linguistics","23.01 English language and literature, general",0.6560489704450894,16,23,different
"16.09 Romance languages, literatures and linguistics",55.14 French literatureCAN,0.6548760698265311,16,55,different
"16.09 Romance languages, literatures and linguistics",25.01 Library science and administration,0.6541999730274528,16,25,different
"16.09 Romance languages, literatures and linguistics",30.45 History and language/literature,0.651372895061633,16,30,different
"16.09 Romance languages, literatures and linguistics","45.99 Social sciences, other",0.6499817681904413,16,45,different
"16.09 Romance languages, literatures and linguistics",22.02 Legal research and advanced professional studies (post-LLB/JD),0.6470870005613207,16,22,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas","13.02 Bilingual, multilingual and multicultural education",0.5153967715867305,16,13,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas",13.03 Curriculum and instruction,0.4438127895348394,16,13,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas",13.09 Social and philosophical foundations of education,0.4260760267283898,16,13,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas",16.17 Second language learning,0.4165890789531901,16,16,same
"16.10 Indigenous languages, literatures, and linguistics of the Americas","13.06 Educational assessment, evaluation and research",0.4123029844040808,16,13,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas",45.05 Demography,0.41164100443562646,16,45,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas","42.99 Psychology, other",0.39977898918530647,16,42,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas",13.05 Educational/instructional media design,0.3942264673062347,16,13,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas",30.14 Museology/museum studies,0.38924154704350383,16,30,different
"16.10 Indigenous languages, literatures, and linguistics of the Americas",13.07 International and comparative education,0.38876356773843523,16,13,different
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",16.17 Second language learning,0.6110334665229431,16,16,same
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","13.99 Education, other",0.5318188265582252,16,13,different
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","16.03 East Asian languages, literatures and linguistics",0.48766433913714063,16,16,same
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",50.03 Dance,0.47774828409385406,16,50,different
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",16.16 Sign language,0.47455069390919513,16,16,same
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","16.05 Germanic languages, literatures and linguistics",0.46635738622070577,16,16,same
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",01.82 Veterinary administrative services,0.4607377145486556,16,01,different
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",14.28 Textile sciences and engineering,0.46068484134529003,16,14,different
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","16.99 Indigenous and foreign languages, literatures and linguistics, other",0.4580367046800017,16,16,same
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",51.37 Energy-based and biologically-based therapies,0.4541773462829088,16,51,different
"16.12 Classics and classical languages, literatures and linguistics",13.07 International and comparative education,0.5503096180583268,16,13,different
"16.12 Classics and classical languages, literatures and linguistics",30.13 Medieval and renaissance studies,0.4798227429019702,16,30,different
"16.12 Classics and classical languages, literatures and linguistics","13.06 Educational assessment, evaluation and research",0.4383015083813534,16,13,different
"16.12 Classics and classical languages, literatures and linguistics","42.99 Psychology, other",0.42539332665178614,16,42,different
"16.12 Classics and classical languages, literatures and linguistics",60.03 Veterinary residency/fellowship programs,0.4170942598013658,16,60,different
"16.12 Classics and classical languages, literatures and linguistics","16.04 Slavic, Baltic and Albanian languages, literatures and linguistics",0.3733103194983178,16,16,same
"16.12 Classics and classical languages, literatures and linguistics","30.15 Science, technology and society",0.3586474498839572,16,30,different
"16.12 Classics and classical languages, literatures and linguistics","16.05 Germanic languages, literatures and linguistics",0.3549205918445314,16,16,same
"16.12 Classics and classical languages, literatures and linguistics","04.08 Architectural history, criticism, and conservation",0.3513934440268084,16,04,different
"16.12 Classics and classical languages, literatures and linguistics",51.01 Chiropractic (DC),0.34549937424204746,16,51,different
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics","55.99 French language and literature/letters, otherCAN",0.40759559683635904,16,55,different
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics","16.07 South Asian languages, literatures and linguistics",0.38190281105780366,16,16,same
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics","50.02 Crafts/craft design, folk art and artisanry",0.36314606226869534,16,50,different
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",16.17 Second language learning,0.35624397101728456,16,16,same
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics","16.99 Indigenous and foreign languages, literatures and linguistics, other",0.34124190564651763,16,16,same
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics","16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics",0.33953773515641894,16,16,same
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",16.16 Sign language,0.33675372490134053,16,16,same
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics","13.99 Education, other",0.33547798315136407,16,13,different
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",51.37 Energy-based and biologically-based therapies,0.3241260471018943,16,51,different
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",51.34 Alternative and complementary medical support services,0.3219089624627665,16,51,different
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",0.33953773515641894,16,16,same
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","16.08 Iranian languages, literatures and linguistics",0.3388452274803761,16,16,same
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","50.99 Visual and performing arts, other",0.2803184239413407,16,50,different
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics",51.37 Energy-based and biologically-based therapies,0.26802965796048217,16,51,different
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics",30.28 Dispute resolution,0.26120362284113857,16,30,different
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","51.05 Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)",0.23382085732170743,16,51,different
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","13.02 Bilingual, multilingual and multicultural education",0.23064656123341973,16,13,different
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics",01.12 Soil sciences,0.2244855744570785,16,01,different
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","16.04 Slavic, Baltic and Albanian languages, literatures and linguistics",0.22023406224148695,16,16,same
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","16.99 Indigenous and foreign languages, literatures and linguistics, other",0.2180201300665071,16,16,same
16.16 Sign language,16.17 Second language learning,0.537439938954152,16,16,same
16.16 Sign language,13.15 Teaching assistants/aides,0.5368256273480866,16,13,different
16.16 Sign language,25.03 Library and archives assisting,0.5170027955859399,16,25,different
16.16 Sign language,"19.99 Family and consumer sciences/human sciences, other",0.5136850704317028,16,19,different
16.16 Sign language,"55.01 French language and literature, generalCAN",0.5104507692979792,16,55,different
16.16 Sign language,"45.99 Social sciences, other",0.5067088828260164,16,45,different
16.16 Sign language,"13.99 Education, other",0.5041704986140181,16,13,different
16.16 Sign language,55.14 French literatureCAN,0.5001329777071718,16,55,different
16.16 Sign language,"16.09 Romance languages, literatures and linguistics",0.4964813282519109,16,16,same
16.16 Sign language,"44.00 Human services, general",0.49253687309929056,16,44,different
16.17 Second language learning,"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",0.6110334665229431,16,16,same
16.17 Second language learning,"16.03 East Asian languages, literatures and linguistics",0.6004769655604921,16,16,same
16.17 Second language learning,13.15 Teaching assistants/aides,0.5924039444006942,16,13,different
16.17 Second language learning,"45.99 Social sciences, other",0.5916935252043631,16,45,different
16.17 Second language learning,39.07 Pastoral counselling and specialized ministries,0.5717809316281874,16,39,different
16.17 Second language learning,39.04 Religious education,0.5689772481994758,16,39,different
16.17 Second language learning,13.04 Educational administration and supervision,0.5684492377638141,16,13,different
16.17 Second language learning,38.02 Religion/religious studies,0.566327133305876,16,38,different
16.17 Second language learning,"16.05 Germanic languages, literatures and linguistics",0.5652182552782253,16,16,same
16.17 Second language learning,13.10 Special education and teaching,0.5618297836031954,16,13,different
"16.99 Indigenous and foreign languages, literatures and linguistics, other",16.17 Second language learning,0.5085369927605694,16,16,same
"16.99 Indigenous and foreign languages, literatures and linguistics, other",16.16 Sign language,0.46291734683500635,16,16,same
"16.99 Indigenous and foreign languages, literatures and linguistics, other","16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",0.4580367046800017,16,16,same
"16.99 Indigenous and foreign languages, literatures and linguistics, other",30.40 Economics and foreign language/literature,0.4473519741686116,16,30,different
"16.99 Indigenous and foreign languages, literatures and linguistics, other",55.13 French rhetoric and composition/writing studiesCAN,0.4440824739529355,16,55,different
"16.99 Indigenous and foreign languages, literatures and linguistics, other","42.99 Psychology, other",0.44273711650380576,16,42,different
"16.99 Indigenous and foreign languages, literatures and linguistics, other","16.05 Germanic languages, literatures and linguistics",0.44021346540995704,16,16,same
"16.99 Indigenous and foreign languages, literatures and linguistics, other",30.23 Intercultural/multicultural and diversity studies,0.43608491377209163,16,30,different
"16.99 Indigenous and foreign languages, literatures and linguistics, other","26.11 Biomathematics, bioinformatics, and computational biology",0.41971020693509026,16,26,different
"16.99 Indigenous and foreign languages, literatures and linguistics, other",39.07 Pastoral counselling and specialized ministries,0.40596391459931164,16,39,different
"23.01 English language and literature, general",23.14 English literature,0.914897443330556,23,23,same
"23.01 English language and literature, general",09.01 Communication and media studies,0.9089124120037511,23,09,different
"23.01 English language and literature, general",45.11 Sociology,0.9049258552548737,23,45,different
"23.01 English language and literature, general",45.10 Political science and government,0.902711985991547,23,45,different
"23.01 English language and literature, general",54.01 History,0.8988472756396007,23,54,different
"23.01 English language and literature, general","24.01 Liberal arts and sciences, general studies and humanities",0.8973334967846824,23,24,different
"23.01 English language and literature, general","13.01 Education, general",0.894728473960379,23,13,different
"23.01 English language and literature, general","42.01 Psychology, general",0.8928620976839756,23,42,different
"23.01 English language and literature, general","16.01 Linguistic, comparative and related language studies and services",0.8919430923063003,23,16,different
"23.01 English language and literature, general","13.13 Teacher education and professional development, specific subject areas",0.8794421654933092,23,13,different
23.13 English rhetoric and composition/writing studies,23.14 English literature,0.759875367425381,23,23,same
23.13 English rhetoric and composition/writing studies,09.04 Journalism,0.7583740025229697,23,09,different
23.13 English rhetoric and composition/writing studies,"55.01 French language and literature, generalCAN",0.7498444845942277,23,55,different
23.13 English rhetoric and composition/writing studies,"23.01 English language and literature, general",0.7425358958057271,23,23,same
23.13 English rhetoric and composition/writing studies,09.01 Communication and media studies,0.7398037079176023,23,09,different
23.13 English rhetoric and composition/writing studies,"09.09 Public relations, advertising and applied communication",0.7385274044712519,23,09,different
23.13 English rhetoric and composition/writing studies,"16.01 Linguistic, comparative and related language studies and services",0.7319359570679742,23,16,different
23.13 English rhetoric and composition/writing studies,50.09 Music,0.7312481373650906,23,50,different
23.13 English rhetoric and composition/writing studies,05.01 Area studies,0.7303012429684559,23,05,different
23.13 English rhetoric and composition/writing studies,50.05 Drama/theatre arts and stagecraft,0.7280880626453721,23,50,different
23.14 English literature,"23.01 English language and literature, general",0.914897443330556,23,23,same
23.14 English literature,"16.01 Linguistic, comparative and related language studies and services",0.8822881269412114,23,16,different
23.14 English literature,45.11 Sociology,0.877716587833142,23,45,different
23.14 English literature,09.01 Communication and media studies,0.8770612407999061,23,09,different
23.14 English literature,54.01 History,0.8726199424144091,23,54,different
23.14 English literature,45.10 Political science and government,0.870240385073357,23,45,different
23.14 English literature,"55.01 French language and literature, generalCAN",0.8613489436628565,23,55,different
23.14 English literature,"24.01 Liberal arts and sciences, general studies and humanities",0.8574270225118962,23,24,different
23.14 English literature,"42.01 Psychology, general",0.8565664666933821,23,42,different
23.14 English literature,09.04 Journalism,0.8529506414004242,23,09,different
"23.99 English language and literature/letters, other","55.99 French language and literature/letters, otherCAN",0.30467335513072397,23,55,different
"23.99 English language and literature/letters, other","10.99 Communications technologies/technicians and support services, other",0.2989301129642501,23,10,different
"23.99 English language and literature/letters, other",48.03 Leatherworking and upholstery,0.29495462080321827,23,48,different
"23.99 English language and literature/letters, other","47.99 Mechanic and repair technologies/technicians, other",0.2919777239606295,23,47,different
"23.99 English language and literature/letters, other",01.07 International agriculture,0.29181039396198705,23,01,different
"23.99 English language and literature/letters, other","16.07 South Asian languages, literatures and linguistics",0.28927861292256635,23,16,different
"23.99 English language and literature/letters, other","51.99 Health professions and related programs, other",0.2852500477595687,23,51,different
"23.99 English language and literature/letters, other",50.11 Community/environmental/socially-engaged art,0.2821024160806685,23,50,different
"23.99 English language and literature/letters, other","25.99 Library science, other",0.2821024160806685,23,25,different
"23.99 English language and literature/letters, other","16.03 East Asian languages, literatures and linguistics",0.2638169256904211,23,16,different
"24.01 Liberal arts and sciences, general studies and humanities",45.01 General social sciences,0.9043413123919912,24,45,different
"24.01 Liberal arts and sciences, general studies and humanities","13.01 Education, general",0.8991242685875673,24,13,different
"24.01 Liberal arts and sciences, general studies and humanities","23.01 English language and literature, general",0.8973334967846824,24,23,different
"24.01 Liberal arts and sciences, general studies and humanities",52.03 Accounting and related services,0.8957761399422031,24,52,different
"24.01 Liberal arts and sciences, general studies and humanities",52.14 Marketing,0.8928309243057913,24,52,different
"24.01 Liberal arts and sciences, general studies and humanities",09.01 Communication and media studies,0.8917235918096886,24,09,different
"24.01 Liberal arts and sciences, general studies and humanities","52.01 Business/commerce, general",0.8877838344115903,24,52,different
"24.01 Liberal arts and sciences, general studies and humanities",45.10 Political science and government,0.8870263491017669,24,45,different
"24.01 Liberal arts and sciences, general studies and humanities","42.01 Psychology, general",0.8829132811305541,24,42,different
"24.01 Liberal arts and sciences, general studies and humanities",45.06 Economics,0.8809938896011313,24,45,different
30.13 Medieval and renaissance studies,13.07 International and comparative education,0.5393630531977818,30,13,different
30.13 Medieval and renaissance studies,"16.12 Classics and classical languages, literatures and linguistics",0.4798227429019702,30,16,different
30.13 Medieval and renaissance studies,"38.00 Philosophy and religious studies, general",0.4455709694563216,30,38,different
30.13 Medieval and renaissance studies,30.25 Cognitive science,0.4310574567699198,30,30,same
30.13 Medieval and renaissance studies,55.13 French rhetoric and composition/writing studiesCAN,0.4214038874506585,30,55,different
30.13 Medieval and renaissance studies,"16.05 Germanic languages, literatures and linguistics",0.4213894484108259,30,16,different
30.13 Medieval and renaissance studies,"09.99 Communication, journalism and related programs, other",0.42083735365034003,30,09,different
30.13 Medieval and renaissance studies,30.22 Classical and ancient studies,0.396414173222011,30,30,same
30.13 Medieval and renaissance studies,09.10 Publishing,0.38848126701958874,30,09,different
30.13 Medieval and renaissance studies,44.05 Public policy analysis,0.37610349946826566,30,44,different
30.22 Classical and ancient studies,05.01 Area studies,0.755479892779246,30,05,different
30.22 Classical and ancient studies,30.45 History and language/literature,0.7364065682317513,30,30,same
30.22 Classical and ancient studies,23.14 English literature,0.7339993185897088,30,23,different
30.22 Classical and ancient studies,25.01 Library science and administration,0.7299942942914587,30,25,different
30.22 Classical and ancient studies,54.01 History,0.7297936375315329,30,54,different
30.22 Classical and ancient studies,"23.01 English language and literature, general",0.727097187157985,30,23,different
30.22 Classical and ancient studies,"38.01 Philosophy, logic and ethics",0.7269395217437794,30,38,different
30.22 Classical and ancient studies,30.20 International/globalization studies,0.7215154452172073,30,30,same
30.22 Classical and ancient studies,45.02 Anthropology,0.7171093411173697,30,45,different
30.22 Classical and ancient studies,"55.01 French language and literature, generalCAN",0.7102108081771497,30,55,different
30.29 Maritime studies,41.02 Nuclear and industrial radiologic technologies/technicians,0.198965057991586,30,41,different
30.29 Maritime studies,49.03 Marine transportation,0.13579230402984224,30,49,different
30.29 Maritime studies,14.22 Naval architecture and marine engineering,0.13358098530466514,30,14,different
30.29 Maritime studies,"48.00 Precision production trades, general",0.1323235087176622,30,48,different
30.29 Maritime studies,29.05 Military technologies and applied sciencesCAN,0.13070439810180173,30,29,different
30.29 Maritime studies,61.01 Combined medical residency/fellowship programs,0.12156740119871047,30,61,different
30.29 Maritime studies,15.05 Environmental control technologies/technicians,0.11872070085010021,30,15,different
30.29 Maritime studies,49.01 Air transportation,0.10199326832199464,30,49,different
30.29 Maritime studies,14.47 Electrical and computer engineering,0.10156642567416356,30,14,different
30.29 Maritime studies,14.25 Petroleum engineering,0.09949706883305563,30,14,different
30.45 History and language/literature,05.01 Area studies,0.817849632229541,30,05,different
30.45 History and language/literature,"23.01 English language and literature, general",0.7914763455326009,30,23,different
30.45 History and language/literature,23.14 English literature,0.7888749359689812,30,23,different
30.45 History and language/literature,"38.01 Philosophy, logic and ethics",0.7876554683418177,30,38,different
30.45 History and language/literature,55.14 French literatureCAN,0.7865369813830687,30,55,different
30.45 History and language/literature,"55.01 French language and literature, generalCAN",0.7845520790857687,30,55,different
30.45 History and language/literature,54.01 History,0.7768912462783913,30,54,different
30.45 History and language/literature,"16.01 Linguistic, comparative and related language studies and services",0.7711557633794442,30,16,different
30.45 History and language/literature,25.01 Library science and administration,0.7680437048770411,30,25,different
30.45 History and language/literature,45.11 Sociology,0.7649220379562813,30,45,different
30.47 Linguistics and anthropology,30.38 Earth systems science,0.5750850492987728,30,30,same
30.47 Linguistics and anthropology,27.06 Applied statistics,0.4681398248464294,30,27,different
30.47 Linguistics and anthropology,30.36 Cultural studies and comparative literature,0.4046412068087725,30,30,same
30.47 Linguistics and anthropology,60.01 Dental residency/fellowship programs,0.358279528328674,30,60,different
30.47 Linguistics and anthropology,60.07 Nurse practitioner residency/fellowship programs,0.34054443894438496,30,60,different
30.47 Linguistics and anthropology,16.06 Modern Greek language and literature,0.3307125489422897,30,16,different
30.47 Linguistics and anthropology,"30.15 Science, technology and society",0.3280930637095021,30,30,same
30.47 Linguistics and anthropology,61.24 Psychiatry residency/fellowship programs,0.32636997558609726,30,61,different
30.47 Linguistics and anthropology,13.03 Curriculum and instruction,0.31617815967615986,30,13,different
30.47 Linguistics and anthropology,"38.00 Philosophy and religious studies, general",0.29861649764606024,30,38,different
"30.51 Integrated philosophy, politics, and economics","26.99 Biological and biomedical sciences, other",0.5784812208497498,30,26,different
"30.51 Integrated philosophy, politics, and economics","22.99 Legal professions and studies, other",0.40137725293034,30,22,different
"30.51 Integrated philosophy, politics, and economics","30.15 Science, technology and society",0.3320261437908497,30,30,same
"30.51 Integrated philosophy, politics, and economics",30.52 Digital humanities and textual studies,0.33005384802322757,30,30,same
"30.51 Integrated philosophy, politics, and economics",30.28 Dispute resolution,0.2748943078047417,30,30,same
"30.51 Integrated philosophy, politics, and economics",30.13 Medieval and renaissance studies,0.24717866866930194,30,30,same
"30.51 Integrated philosophy, politics, and economics",40.11 Physics and astronomy,0.2459448275158615,30,40,different
"30.51 Integrated philosophy, politics, and economics",30.40 Economics and foreign language/literature,0.24388967486488056,30,30,same
"30.51 Integrated philosophy, politics, and economics",45.05 Demography,0.2178088687367256,30,45,different
"30.51 Integrated philosophy, politics, and economics",45.15 Geography and anthropology,0.21391639462591053,30,45,different
30.52 Digital humanities and textual studies,"30.51 Integrated philosophy, politics, and economics",0.33005384802322757,30,30,same
30.52 Digital humanities and textual studies,30.70 Data science,0.2728763260845393,30,30,same
30.52 Digital humanities and textual studies,"27.99 Mathematics and statistics, other",0.25260299317284707,30,27,different
30.52 Digital humanities and textual studies,30.71 Data analytics,0.2398738114335485,30,30,same
30.52 Digital humanities and textual studies,51.27 Medical illustration and informatics,0.22035336631937463,30,51,different
30.52 Digital humanities and textual studies,"16.99 Indigenous and foreign languages, literatures and linguistics, other",0.21690443055772407,30,16,different
30.52 Digital humanities and textual studies,"26.11 Biomathematics, bioinformatics, and computational biology",0.19967162523365797,30,26,different
30.52 Digital humanities and textual studies,"38.00 Philosophy and religious studies, general",0.19422705092472234,30,38,different
30.52 Digital humanities and textual studies,30.25 Cognitive science,0.18496022872577314,30,30,same
30.52 Digital humanities and textual studies,30.06 Systems science and theory,0.18293979828503495,30,30,same
30.53 Thanatology,"16.04 Slavic, Baltic and Albanian languages, literatures and linguistics",0.4713145977965862,30,16,different
30.53 Thanatology,19.10 Work and family studies,0.4452979015019095,30,19,different
30.53 Thanatology,51.36 Movement and mind-body therapies,0.44145112789061575,30,51,different
30.53 Thanatology,51.17 Optometry (OD),0.41909155450276037,30,51,different
30.53 Thanatology,30.17 Behavioural sciences,0.4177416597962263,30,30,same
30.53 Thanatology,12.03 Funeral service and mortuary science,0.4047492801120437,30,12,different
30.53 Thanatology,16.17 Second language learning,0.40453074181352,30,16,different
30.53 Thanatology,30.40 Economics and foreign language/literature,0.4017592306340668,30,30,same
30.53 Thanatology,51.02 Communication disorders sciences and services,0.39221579475240287,30,51,different
30.53 Thanatology,16.16 Sign language,0.3912119469094157,30,16,different
"38.00 Philosophy and religious studies, general","13.02 Bilingual, multilingual and multicultural education",0.511221163703537,38,13,different
"38.00 Philosophy and religious studies, general",30.23 Intercultural/multicultural and diversity studies,0.5082824176262969,38,30,different
"38.00 Philosophy and religious studies, general",30.13 Medieval and renaissance studies,0.4455709694563216,38,30,different
"38.00 Philosophy and religious studies, general",30.22 Classical and ancient studies,0.4405410964831514,38,30,different
"38.00 Philosophy and religious studies, general",13.03 Curriculum and instruction,0.4337404978365299,38,13,different
"38.00 Philosophy and religious studies, general","16.09 Romance languages, literatures and linguistics",0.4183550158337786,38,16,different
"38.00 Philosophy and religious studies, general",19.10 Work and family studies,0.416394055098183,38,19,different
"38.00 Philosophy and religious studies, general",38.02 Religion/religious studies,0.41368973272216414,38,38,same
"38.00 Philosophy and religious studies, general",30.25 Cognitive science,0.4135768934496516,38,30,different
"38.00 Philosophy and religious studies, general",13.05 Educational/instructional media design,0.4121861707058918,38,13,different
"38.01 Philosophy, logic and ethics",45.10 Political science and government,0.8581555253615698,38,45,different
"38.01 Philosophy, logic and ethics","23.01 English language and literature, general",0.8573034286370215,38,23,different
"38.01 Philosophy, logic and ethics",54.01 History,0.8546747166755645,38,54,different
"38.01 Philosophy, logic and ethics",45.11 Sociology,0.8525385222492822,38,45,different
"38.01 Philosophy, logic and ethics","13.13 Teacher education and professional development, specific subject areas",0.8464782738744377,38,13,different
"38.01 Philosophy, logic and ethics","42.01 Psychology, general",0.8461949203030643,38,42,different
"38.01 Philosophy, logic and ethics",23.14 English literature,0.8450155335840449,38,23,different
"38.01 Philosophy, logic and ethics",09.01 Communication and media studies,0.8425895788087774,38,09,different
"38.01 Philosophy, logic and ethics","13.01 Education, general",0.8328187869465937,38,13,different
"38.01 Philosophy, logic and ethics","16.01 Linguistic, comparative and related language studies and services",0.8323379464512773,38,16,different
38.02 Religion/religious studies,"38.01 Philosophy, logic and ethics",0.8257944864153024,38,38,same
38.02 Religion/religious studies,"23.01 English language and literature, general",0.8178303048021143,38,23,different
38.02 Religion/religious studies,"13.13 Teacher education and professional development, specific subject areas",0.8172016942094948,38,13,different
38.02 Religion/religious studies,"13.01 Education, general",0.8119232047592784,38,13,different
38.02 Religion/religious studies,"24.01 Liberal arts and sciences, general studies and humanities",0.8113191381857933,38,24,different
38.02 Religion/religious studies,39.06 Theological and ministerial studies,0.8076275393314732,38,39,different
38.02 Religion/religious studies,54.01 History,0.8061456962793601,38,54,different
38.02 Religion/religious studies,23.14 English literature,0.800576838724021,38,23,different
38.02 Religion/religious studies,45.11 Sociology,0.7968197179031666,38,45,different
38.02 Religion/religious studies,50.09 Music,0.7938838483705088,38,50,different
"38.99 Philosophy and religious studies, other",50.11 Community/environmental/socially-engaged art,0.4985301291077401,38,50,different
"38.99 Philosophy and religious studies, other",19.04 Family and consumer economics and related services,0.4985301291077401,38,19,different
"38.99 Philosophy and religious studies, other","03.99 Natural resources and conservation, other",0.34223674724916225,38,03,different
"38.99 Philosophy and religious studies, other",39.03 Missions/missionary studies and missiology,0.32239312943776216,38,39,different
"38.99 Philosophy and religious studies, other",51.17 Optometry (OD),0.2681818628868311,38,51,different
"38.99 Philosophy and religious studies, other",61.04 Anesthesiology residency/fellowship programs,0.2382791215209015,38,61,different
"38.99 Philosophy and religious studies, other",61.14 Ophthalmology residency/fellowship programs,0.23504265702432142,38,61,different
"38.99 Philosophy and religious studies, other",13.05 Educational/instructional media design,0.23313923329323538,38,13,different
"38.99 Philosophy and religious studies, other",39.05 Religious music and worship,0.2179995860140768,38,39,different
"38.99 Philosophy and religious studies, other",14.32 Polymer/plastics engineering,0.207941408497165,38,14,different
39.02 Bible/Biblical studies,38.02 Religion/religious studies,0.7252834884236915,39,38,different
39.02 Bible/Biblical studies,39.06 Theological and ministerial studies,0.7039780977067996,39,39,same
39.02 Bible/Biblical studies,"24.01 Liberal arts and sciences, general studies and humanities",0.6958232646352331,39,24,different
39.02 Bible/Biblical studies,39.04 Religious education,0.688047060701112,39,39,same
39.02 Bible/Biblical studies,"13.01 Education, general",0.6806972866687577,39,13,different
39.02 Bible/Biblical studies,50.09 Music,0.6790223614789223,39,50,different
39.02 Bible/Biblical studies,"13.13 Teacher education and professional development, specific subject areas",0.6784555008946199,39,13,different
39.02 Bible/Biblical studies,13.15 Teaching assistants/aides,0.6764545399498441,39,13,different
39.02 Bible/Biblical studies,"31.01 Parks, recreation, and leisure studies",0.6731956676428278,39,31,different
39.02 Bible/Biblical studies,"19.07 Human development, family studies and related services",0.6670872532738118,39,19,different
39.03 Missions/missionary studies and missiology,"39.99 Theology and religious vocations, other",0.4758367970245544,39,39,same
39.03 Missions/missionary studies and missiology,30.23 Intercultural/multicultural and diversity studies,0.46451057665142886,39,30,different
39.03 Missions/missionary studies and missiology,"42.99 Psychology, other",0.42398776025553736,39,42,different
39.03 Missions/missionary studies and missiology,39.05 Religious music and worship,0.42382005606277057,39,39,same
39.03 Missions/missionary studies and missiology,13.03 Curriculum and instruction,0.41123459946930324,39,13,different
39.03 Missions/missionary studies and missiology,"38.00 Philosophy and religious studies, general",0.3997572946459905,39,38,different
39.03 Missions/missionary studies and missiology,39.07 Pastoral counselling and specialized ministries,0.3899470720570142,39,39,same
39.03 Missions/missionary studies and missiology,39.04 Religious education,0.3862146698001441,39,39,same
39.03 Missions/missionary studies and missiology,"13.99 Education, other",0.3792065987470635,39,13,different
39.03 Missions/missionary studies and missiology,30.05 Peace studies and conflict resolution,0.3619947037153045,39,30,different
39.04 Religious education,38.02 Religion/religious studies,0.7090327358240157,39,38,different
39.04 Religious education,39.06 Theological and ministerial studies,0.6925185132286836,39,39,same
39.04 Religious education,39.02 Bible/Biblical studies,0.688047060701112,39,39,same
